ABBA	f
ABS	m3
acting-out	m3
Ad-Dauha	f
Ad-Dauha	n
ADM	m3
ADN	m3
AF	m3
agar-agar	m3
aide-mémoire	n
AIDS	m2
AIDS	m3
AIF	m3
AK-owiec	m1
Aldridge	m3
alfa-hydroksykwas	m3
allemande	m2
AL	m3
AL-owiec	m1
Al-Ujun	n
Ałma-Ata	f
AMERBANK	m3
AM	m3
Ampére	m1
Amu-daria	f
anglaise	m2
anglo-amerykańskość	f
ANSA	f
AON	m3
APA	f
Apollinaire	m1
APS	m3
ARiMR	m3
Aristide	m1
AR	m3
ASEAN	m3
ASR	m3
assemblage	m3
Astaire	m1
austro-węgierskość	f
Austro-Węgry	n:pt
AWD-Arena	f
AWF	m3
AWS	m3
AZS	m3
BAAS	m3
baba-jaga	f
baby-sitter	m1
back-office	m3
Bács-Kiskun	n
Baden-Powell	m1
Barrés	m1
Barrès	m1
Barthes	m1
bas-baryton	m1
bas-baryton	m3
BASF	m3
bas-relief	m3
Basse-Terre	f
Basse-Terre	n
Baudelaire	m1
BAV	m3
BBWR	m3
Beaumarchais	m1
beguine	m2
Bellonte	m1
Benveniste	m1
BERD	m3
beri-beri	f
beri-beri	n
Bernadotte	m1
beta-bloker	m3
beta-karoten	m3
BGŻ	m3
Bielsko-Biała	f
big-band	m3
big-beat	m3
BIG	m3
BIOS	m3
BJ	m3
Blake	m1
BN	m3
bon-mot	m3
bon-vivant	m1
boogie-woogie	n
Bora-Bora	f
BOR	m3
BOS	m3
BOŚ	m3
Bourdelle	m1
boutique	m3
Boyle	m1
BPS	m3
Bradbury	m1
Braille	m1
branle	m2
Brantôme	m1
Braque	m1
BRBM	m3
breakdance	m2
BR	m3
Brooke	m1
BRR	m3
Bruce	m1
brumaire	m3
BS	m3
BSR	m3
BŚ	m3
Burne	m1
BUW	m3
BWZ	m3
by-pass	m3
BZ	m3
cache-pot	m3
CAD	m3
CAF	m3
cake-walk	m2
call-girl	f
CAM	m3
Capote	m1
cartridge	m3
CBOS	m3
CB-radio	n
CBS	m3
CD-ROM	m3
CEFTA	f
Cezanne	m1
cha-cha	f
Charles	m1
chippendale	m2
chłodziarko-zamrażarka	f
Chomsky	m1
chow-chow	m2
Christophe	m1
ChRL	m3
ciepło-zimno	n
cinéma-vérité	n
CIT	m3
ckm	m3
Claude	m1
CMYK	m2
CNN	m3
coca-cola	f
cocker-spaniel	m2
cocktail-bar	m3
cocktail-party	n
COCOM	m3
collage	m3
college	m3
collége	m3
coming-out	m3
Connery	m1
Constable	m1
Corneille	m1
cornflakes	n:pt
Costes	m1
courante	m2
CPN	m3
crossing-over	m3
Cruise	m1
CRZZ	m3
CWKS	m3
Cy-jang	m1
cza-cza	f
czau-czau	m2
Czyngis-chan	m1
DAB	m3
Daguerre	m1
Daisne	m1
d’Alembert	m1
d’Annunzio	m1
Danone	m3
d’Arc	m1
d’Arquien	m1
DAT	m3
d-ca	m1
deadline	m3
Debussy	m1
decoupage	m3
Delavigne	m1
Delerue	m1
Delibes	m1
dell’arte	n
Deneuve	m1
Desargues	m1
Descartes	m1
d’Estaing	m1
DHL	m3
DJ	m1
DLS	m3
DM	m3
dodge	m2
Dolphy	m1
DOS	m2
DOS	m3
Doumergue	m1
Doyle	m1
